color,filename,plastic_or_not,N,site
yellow,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,plastic,2,M1
brown,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,plastic,6,M4
translucent,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,plastic,4,M4
white,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,plastic,1,M4
brown,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,plastic,13,M2
multi,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,plastic,6,M2
translucent,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,plastic,72,M2
white,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,plastic,9,M2
brown,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,plastic,39,SK1
translucent,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,plastic,11,SK1
white,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,plastic,4,SK1
brown,Sesan1_Feb2422_HVS_100um_1_A_derivative_beta_T0.7_results.csv,plastic,20,SS1
translucent,Sesan1_Feb2422_HVS_100um_1_A_derivative_beta_T0.7_results.csv,plastic,72,SS1
white,Sesan1_Feb2422_HVS_100um_1_A_derivative_beta_T0.7_results.csv,plastic,2,SS1
brown,Sesan1_Feb2422_HVS_100um_1_B_derivative_beta_T0.7_results.csv,plastic,128,SS1
gold,Sesan1_Feb2422_HVS_100um_1_B_derivative_beta_T0.7_results.csv,plastic,2,SS1
translucent,Sesan1_Feb2422_HVS_100um_1_B_derivative_beta_T0.7_results.csv,plastic,32,SS1
white,Sesan1_Feb2422_HVS_100um_1_B_derivative_beta_T0.7_results.csv,plastic,4,SS1
