site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
M3,Polyterephthalates,50-100,100-200,film,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,1,35,0.2,5,3.3333333333333335,1.6666666666666665,0.047619047619047616
M3,Polyterephthalates,50-100,50-100,fragment,DS,Mekong_7_Feb2222_HVS_100um_1_derivative_T0.7_results.csv,6,35,0.2,30,12.780761734330227,17.219238265669773,0.49197823616199354
SK1,Other plastic,50-100,100-200,film,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
SK1,Other plastic,50-100,50-100,fragment,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,2,45,0.2,10,7.065590154895206,2.9344098451047937,0.06520910766899542
SK1,Other plastic,<50,50-100,fiber/filament,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
SK1,Other plastic,<50,50-100,fragment,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,6,45,0.2,30,7.065590154895206,22.934409845104796,0.5096535521134399
SK1,Other plastic,<50,<50,fragment,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,19,45,0.2,95,7.065590154895206,87.9344098451048,1.9540979965578844
SK1,Polycarbonates,<50,100-200,fiber/filament,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,2,45,0.2,10,6.591166666666667,3.408833333333333,0.07575185185185185
SK1,Polyethylenes,50-100,100-200,fiber/filament,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
SK1,Polyethylenes,<50,50-100,fragment,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,4,45,0.2,20,3.3333333333333335,16.666666666666668,0.3703703703703704
SK1,Polystyrenes,50-100,100-200,fragment,DS,Sekong1_Feb2422_HVS_100um_1_derivative_T0.7_results.csv,2,45,0.2,10,5.206266666666667,4.793733333333333,0.1065274074074074
